x, y, z, pressure, velmag, vx, vy, vz
1.58537, 0.72581, 0.0, -0.01746, 1.01358, 1.01358, -0.00213, 0.0
1.58537, 0.75806, 0.0, -0.01746, 1.01367, 1.01366, -0.00242, 0.0
1.58537, 0.79032, 0.0, -0.01745, 1.01362, 1.01362, -0.00271, 0.0
1.58537, 0.82258, 0.0, -0.01744, 1.01328, 1.01328, -0.00297, 0.0
1.58537, 0.85484, 0.0, -0.01743, 1.01228, 1.01228, -0.00321, 0.0
1.58537, 0.88710, 0.0, -0.01742, 1.00965, 1.00965, -0.00338, 0.0
1.58537, 0.91935, 0.0, -0.01741, 1.00196, 1.00195, -0.00344, 0.0
1.58537, 0.95161, 0.0, -0.01740, 0.97351, 0.97350, -0.00306, 0.0
1.58537, 0.98387, 0.0, -0.01742, 0.86314, 0.86314, -0.00189, 0.0
1.58537, 1.00000, 0.0, -0.01744, 0.00000, 0.00000, 0.00000, 0.0
1.82927, 0.00000, 0.0, -0.01978, 0.00000, 0.00000, 0.00000, 0.0
1.82927, 0.01613, 0.0, -0.01976, 0.84515, 0.84514, 0.00175, 0.0
1.82927, 0.04839, 0.0, -0.01973, 0.96687, 0.96686, 0.00296, 0.0
1.82927, 0.08065, 0.0, -0.01975, 1.00088, 1.00087, 0.00341, 0.0
1.82927, 0.11290, 0.0, -0.01976, 1.01044, 1.01044, 0.00337, 0.0
1.82927, 0.14516, 0.0, -0.01976, 1.01381, 1.01380, 0.00320, 0.0
1.82927, 0.17742, 0.0, -0.01977, 1.01516, 1.01515, 0.00298, 0.0
1.82927, 0.20968, 0.0, -0.01978, 1.01569, 1.01569, 0.00271, 0.0
1.82927, 0.24194, 0.0, -0.01978, 1.01585, 1.01585, 0.00243, 0.0
1.82927, 0.27419, 0.0, -0.01979, 1.01583, 1.01582, 0.00214, 0.0
1.82927, 0.30645, 0.0, -0.01979, 1.01573, 1.01572, 0.00184, 0.0
1.82927, 0.33871, 0.0, -0.01979, 1.01560, 1.01560, 0.00154, 0.0
1.82927, 0.37097, 0.0, -0.01979, 1.01548, 1.01548, 0.00123, 0.0
1.82927, 0.40323, 0.0, -0.01979, 1.01538, 1.01538, 0.00092, 0.0
1.82927, 0.43548, 0.0, -0.01979, 1.01530, 1.01530, 0.00062, 0.0
1.82927, 0.46774, 0.0, -0.01979, 1.01526, 1.01526, 0.00031, 0.0
1.82927, 0.50000, 0.0, -0.01979, 1.01524, 1.01524, -0.00000, 0.0
1.82927, 0.53226, 0.0, -0.01979, 1.01526, 1.01526, -0.00031, 0.0
1.82927, 0.56452, 0.0, -0.01979, 1.01530, 1.01530, -0.00062, 0.0
1.82927, 0.59677, 0.0, -0.01979, 1.01538, 1.01538, -0.00092, 0.0
1.82927, 0.62903, 0.0, -0.01979, 1.01548, 1.01548, -0.00123, 0.0
1.82927, 0.66129, 0.0, -0.01979, 1.01560, 1.01560, -0.00154, 0.0
1.82927, 0.69355, 0.0, -0.01979, 1.01573, 1.01572, -0.00184, 0.0
1.82927, 0.72581, 0.0, -0.01979, 1.01583, 1.01582, -0.00214, 0.0
1.82927, 0.75806, 0.0, -0.01978, 1.01585, 1.01585, -0.00243, 0.0
1.82927, 0.79032, 0.0, -0.01978, 1.01569, 1.01569, -0.00271, 0.0
1.82927, 0.82258, 0.0, -0.01977, 1.01516, 1.01515, -0.00298, 0.0
1.82927, 0.85484, 0.0, -0.01976, 1.01381, 1.01380, -0.00320, 0.0
1.82927, 0.88710, 0.0, -0.01976, 1.01044, 1.01044, -0.00337, 0.0
1.82927, 0.91935, 0.0, -0.01975, 1.00088, 1.00087, -0.00341, 0.0
1.82927, 0.95161, 0.0, -0.01973, 0.96687, 0.96686, -0.00296, 0.0
1.82927, 0.98387, 0.0, -0.01976, 0.84515, 0.84514, -0.00175, 0.0
1.82927, 1.00000, 0.0, -0.01978, 0.00000, 0.00000, 0.00000, 0.0
2.07317, 0.00000, 0.0, -0.02213, 0.00000, 0.00000, 0.00000, 0.0
2.07317, 0.01613, 0.0, -0.02212, 0.82805, 0.82805, 0.00161, 0.0
2.07317, 0.04839, 0.0, -0.02209, 0.95990, 0.95989, 0.00286, 0.0
2.07317, 0.08065, 0.0, -0.02210, 0.99951, 0.99951, 0.00335, 0.0
2.07317, 0.11290, 0.0, -0.02211, 1.01109, 1.01109, 0.00334, 0.0
2.07317, 0.14516, 0.0, -0.02212, 1.01526, 1.01525, 0.00319, 0.0
2.07317, 0.17742, 0.0, -0.02212, 1.01699, 1.01699, 0.00297, 0.0
2.07317, 0.20968, 0.0, -0.02213, 1.01773, 1.01773, 0.00271, 0.0
2.07317, 0.24194, 0.0, -0.02213, 1.01801, 1.01801, 0.00243, 0.0
2.07317, 0.27419, 0.0, -0.02213, 1.01806, 1.01806, 0.00214, 0.0
2.07317, 0.30645, 0.0, -0.02213, 1.01801, 1.01801, 0.00184, 0.0
2.07317, 0.33871, 0.0, -0.02213, 1.01791, 1.01791, 0.00154, 0.0
