x, y, z, k, eps, mut
1.34146, 0.88710, 0.0, 0.00487, 0.00121, 0.00177
1.34146, 0.91935, 0.0, 0.00472, 0.00191, 0.00105
1.34146, 0.95161, 0.0, 0.00508, 0.00498, 0.00047
1.34146, 0.98387, 0.0, 0.01071, 0.02753, 0.00037
1.34146, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
1.58537, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
1.58537, 0.01613, 0.0, 0.01060, 0.02713, 0.00037
1.58537, 0.04839, 0.0, 0.00494, 0.00503, 0.00044
1.58537, 0.08065, 0.0, 0.00447, 0.00189, 0.00095
1.58537, 0.11290, 0.0, 0.00462, 0.00118, 0.00163
1.58537, 0.14516, 0.0, 0.00478, 0.00094, 0.00219
1.58537, 0.17742, 0.0, 0.00489, 0.00084, 0.00256
1.58537, 0.20968, 0.0, 0.00496, 0.00080, 0.00278
1.58537, 0.24194, 0.0, 0.00501, 0.00078, 0.00291
1.58537, 0.27419, 0.0, 0.00503, 0.00077, 0.00297
1.58537, 0.30645, 0.0, 0.00504, 0.00076, 0.00300
1.58537, 0.33871, 0.0, 0.00505, 0.00076, 0.00302
1.58537, 0.37097, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.40323, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.43548, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.46774, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.50000, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.53226, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.56452, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.59677, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.62903, 0.0, 0.00506, 0.00076, 0.00303
1.58537, 0.66129, 0.0, 0.00505, 0.00076, 0.00302
1.58537, 0.69355, 0.0, 0.00504, 0.00076, 0.00300
1.58537, 0.72581, 0.0, 0.00503, 0.00077, 0.00297
1.58537, 0.75806, 0.0, 0.00501, 0.00078, 0.00291
1.58537, 0.79032, 0.0, 0.00496, 0.00080, 0.00278
1.58537, 0.82258, 0.0, 0.00489, 0.00084, 0.00256
1.58537, 0.85484, 0.0, 0.00478, 0.00094, 0.00219
1.58537, 0.88710, 0.0, 0.00462, 0.00118, 0.00163
1.58537, 0.91935, 0.0, 0.00447, 0.00189, 0.00095
1.58537, 0.95161, 0.0, 0.00494, 0.00503, 0.00044
1.58537, 0.98387, 0.0, 0.01060, 0.02713, 0.00037
1.58537, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
1.82927, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
1.82927, 0.01613, 0.0, 0.01042, 0.02644, 0.00037
1.82927, 0.04839, 0.0, 0.00485, 0.00506, 0.00042
1.82927, 0.08065, 0.0, 0.00425, 0.00187, 0.00087
1.82927, 0.11290, 0.0, 0.00439, 0.00114, 0.00152
1.82927, 0.14516, 0.0, 0.00456, 0.00090, 0.00207
1.82927, 0.17742, 0.0, 0.00468, 0.00080, 0.00247
1.82927, 0.20968, 0.0, 0.00476, 0.00075, 0.00271
1.82927, 0.24194, 0.0, 0.00482, 0.00073, 0.00286
1.82927, 0.27419, 0.0, 0.00485, 0.00072, 0.00294
1.82927, 0.30645, 0.0, 0.00487, 0.00072, 0.00298
1.82927, 0.33871, 0.0, 0.00488, 0.00071, 0.00300
1.82927, 0.37097, 0.0, 0.00488, 0.00071, 0.00301
1.82927, 0.40323, 0.0, 0.00489, 0.00071, 0.00302
1.82927, 0.43548, 0.0, 0.00489, 0.00071, 0.00302
